,ANI energy,DFT energy,Phi,Psi
0,-1781917.7093603336,-1781917.9189625513,0,0
1,-1781917.2951895308,-1781917.390850578,10,0
2,-1781915.1227558823,-1781914.9950194068,20,0
3,-1781911.7639205218,-1781911.2104470187,30,0
4,-1781907.863930695,-1781906.924620063,40,0
5,-1781904.1079582067,-1781903.1169553264,50,0
6,-1781901.648399547,-1781900.8778132708,60,0
7,-1781902.4695210967,-1781901.4575065225,70,0
8,-1781905.5078209536,-1781904.9220490789,80,0
9,-1781910.0187085518,-1781909.6184554836,90,0
10,-1781914.1875473675,-1781913.9802110856,100,0
11,-1781916.9340894956,-1781916.9693524642,110,0
12,-1781917.7660098947,-1781917.9582446443,120,0
13,-1781916.6203628867,-1781916.776518803,130,0
14,-1781913.7418848465,-1781913.7750782385,140,0
15,-1781910.0773378925,-1781909.7925266116,150,0
16,-1781906.5804515923,-1781905.8038881426,160,0
17,-1781903.4164577567,-1781902.5811877376,170,0
18,-1781901.5953144324,-1781900.820082399,180,0
19,-1781902.3949935841,-1781901.3682746754,190,0
20,-1781904.891081885,-1781904.4049812725,200,0
21,-1781908.9343126237,-1781908.8415987547,210,0
22,-1781913.3794750026,-1781913.2634697643,220,0
23,-1781916.4554326548,-1781916.5054974612,230,0
24,-1781917.7401681147,-1781917.9207195777,240,0
25,-1781917.191152453,-1781917.3373867709,250,0
26,-1781915.0500716332,-1781915.01710774,260,0
27,-1781911.9674230833,-1781911.5481098667,270,0
28,-1781908.4549763747,-1781907.620088813,280,0
29,-1781904.9245374117,-1781903.9096252937,290,0
30,-1781902.0162344715,-1781901.2511814076,300,0
31,-1781901.8961278955,-1781900.9842388774,310,0
32,-1781904.4103992379,-1781903.8833953978,320,0
33,-1781908.8314640229,-1781908.5641768163,330,0
34,-1781913.3365638393,-1781913.118452325,340,0
35,-1781916.3521863613,-1781916.4059117076,350,0
36,-1781916.7065085494,-1781917.1874120065,0,10
37,-1781915.1933667043,-1781915.7452697337,10,10
38,-1781912.2604697552,-1781912.6182017722,20,10
39,-1781908.6007993869,-1781908.5354996333,30,10
40,-1781905.0954927462,-1781904.5290398954,40,10
41,-1781902.1740436153,-1781901.671863759,50,10
42,-1781901.5690825924,-1781900.9145853259,60,10
43,-1781903.4209696976,-1781902.8114837145,70,10
44,-1781907.145734182,-1781906.7782848538,80,10
45,-1781911.5820427842,-1781911.3045106889,90,10
46,-1781915.1434455533,-1781915.0139074419,100,10
47,-1781916.7235877484,-1781917.0257028153,110,10
48,-1781916.3017874158,-1781916.9001381693,120,10
49,-1781913.9487777562,-1781914.7098791017,130,10
50,-1781910.4996674212,-1781911.1456252902,140,10
51,-1781907.300275182,-1781907.2405083322,150,10
52,-1781904.3200023538,-1781903.8590480303,160,10
53,-1781902.091315869,-1781901.5685756993,170,10
54,-1781901.4978199617,-1781900.8883554297,180,10
55,-1781902.9598732223,-1781902.4644082244,190,10
56,-1781906.2483819532,-1781906.1549796932,200,10
57,-1781910.7721613166,-1781910.6502693114,210,10
58,-1781914.5626334741,-1781914.499600677,220,10
59,-1781916.5298035403,-1781916.785994196,230,10
60,-1781916.6290149954,-1781917.1417920678,240,10
61,-1781914.9510515647,-1781915.6202698464,250,10
62,-1781912.1975049826,-1781912.680576214,260,10
63,-1781908.93998298,-1781909.003621701,270,10
64,-1781905.722480476,-1781905.2747094033,280,10
65,-1781902.7268811008,-1781902.2496744825,290,10
66,-1781901.456060751,-1781900.869341893,300,10
67,-1781902.7426171596,-1781902.119152512,310,10
68,-1781906.0457373408,-1781905.8255372194,320,10
69,-1781910.5230179918,-1781910.4020265634,330,10
70,-1781914.4108896523,-1781914.29114203,340,10
71,-1781916.4411117698,-1781916.671787472,350,10
72,-1781915.4109530342,-1781915.9583092,0,20
73,-1781913.0217425784,-1781913.7513583803,10,20
74,-1781909.783509996,-1781910.309531667,20,20
75,-1781906.6492932527,-1781906.6266785648,30,20
76,-1781903.9299396407,-1781903.72457275,40,20
77,-1781902.589423225,-1781902.2400108366,50,20
78,-1781903.0219612804,-1781902.538768097,60,20
79,-1781905.2079542787,-1781904.8787509252,70,20
80,-1781908.7784109893,-1781908.698024587,80,20
81,-1781912.8680671246,-1781912.6637589603,90,20
82,-1781915.5591563955,-1781915.504117843,100,20
83,-1781916.0499155861,-1781916.4546691938,110,20
84,-1781914.5140207612,-1781915.2973534712,120,20
85,-1781911.4118811635,-1781912.4924488738,130,20
86,-1781908.525164734,-1781909.060850565,140,20
87,-1781905.8380690757,-1781905.9236797013,150,20
88,-1781903.764672677,-1781903.5762295101,160,20
89,-1781902.635535824,-1781902.2738963482,170,20
90,-1781902.8193032984,-1781902.409187391,180,20
91,-1781904.692713414,-1781904.5193762495,190,20
92,-1781908.0924157978,-1781908.2406329315,200,20
93,-1781912.302461503,-1781912.2258828492,210,20
94,-1781915.1890210405,-1781915.1882923245,220,20
95,-1781916.135595416,-1781916.4338358792,230,20
96,-1781915.193042939,-1781915.805447892,240,20
97,-1781912.7464796165,-1781913.608662726,250,20
98,-1781909.8846553587,-1781910.4831007873,260,20
99,-1781907.0606342368,-1781907.138098786,270,20
100,-1781904.4107057631,-1781904.2657996712,280,20
101,-1781902.7573589303,-1781902.4681105302,290,20
102,-1781902.7590398912,-1781902.2757788764,300,20
103,-1781904.5499548966,-1781904.2099513279,310,20
104,-1781907.754859911,-1781907.8751714139,320,20
105,-1781911.8742942882,-1781911.8838901862,330,20
106,-1781914.9865638306,-1781914.9448186487,340,20
107,-1781916.1304735777,-1781916.384262631,350,20
108,-1781914.1766600956,-1781914.6422335804,0,30
109,-1781911.5053200903,-1781912.1657674417,10,30
110,-1781908.7954654344,-1781909.1822736482,20,30
111,-1781906.4683201741,-1781906.6067865144,30,30
112,-1781905.1513843755,-1781904.832503477,40,30
113,-1781904.4040917885,-1781904.029605105,50,30
114,-1781904.936526614,-1781904.5810604307,60,30
115,-1781906.9400969993,-1781906.7863169748,70,30
116,-1781909.9858127697,-1781910.1809549758,80,30
117,-1781913.4476963056,-1781913.4892476732,90,30
118,-1781915.4827114164,-1781915.490751891,100,30
119,-1781915.2458452957,-1781915.5538165933,110,30
120,-1781913.001956831,-1781913.830550076,120,30
121,-1781910.4425365126,-1781911.190805972,130,30
122,-1781908.0516466617,-1781908.5565212006,140,30
123,-1781906.2734375144,-1781906.4018419203,150,30
124,-1781905.1741039343,-1781904.8459949307,160,30
125,-1781904.4565096598,-1781904.0479911328,170,30
126,-1781904.7686664327,-1781904.4677949708,180,30
127,-1781906.6078625876,-1781906.579803607,190,30
128,-1781909.60641548,-1781909.9391128246,200,30
129,-1781913.0640796784,-1781913.2325335473,210,30
130,-1781915.238874856,-1781915.3268464163,220,30
131,-1781915.5300459892,-1781915.6988340325,230,30
132,-1781913.852232561,-1781914.4404892847,240,30
133,-1781911.4214246855,-1781912.1101701024,250,30
134,-1781908.9560206174,-1781909.41620918,260,30
135,-1781906.7556504214,-1781906.97475807,270,30
136,-1781905.3839292317,-1781905.1362808133,280,30
137,-1781904.518071351,-1781904.111055835,290,30
138,-1781904.7008578943,-1781904.3210205047,300,30
139,-1781906.439872526,-1781906.2180443953,310,30
140,-1781909.1438580106,-1781909.4673512022,320,30
141,-1781912.5663102209,-1781912.8257819063,330,30
142,-1781915.0246541742,-1781915.1180112637,340,30
143,-1781915.6148528235,-1781915.7540548663,350,30
144,-1781913.682824213,-1781914.012841578,0,40
145,-1781911.613163026,-1781911.9779538563,10,40
146,-1781909.617871455,-1781909.8813819531,20,40
147,-1781908.2039562326,-1781908.0835673104,30,40
148,-1781907.12967021,-1781906.6867939723,40,40
149,-1781906.3568392172,-1781905.9494075894,50,40
150,-1781906.7497499222,-1781906.3374594483,60,40
151,-1781908.3047068166,-1781908.209006454,70,40
152,-1781910.9350321156,-1781911.1372794139,80,40
153,-1781913.7987659818,-1781913.8935520272,90,40
154,-1781915.2637650464,-1781915.3038795698,100,40
155,-1781914.66376355,-1781914.98861881,110,40
156,-1781913.0196246356,-1781913.4471417875,120,40
157,-1781911.0810271872,-1781911.496214833,130,40
158,-1781909.3684355624,-1781909.6301271596,140,40
159,-1781908.1192594597,-1781908.0127842415,150,40
160,-1781907.151582584,-1781906.7071880302,160,40
161,-1781906.3656273205,-1781905.9627107903,170,40
162,-1781906.6695233232,-1781906.2966713323,180,40
163,-1781908.1547183476,-1781908.1669005684,190,40
164,-1781910.7403238711,-1781911.0650530737,200,40
165,-1781913.5050876816,-1781913.7512328785,210,40
166,-1781915.1290676696,-1781915.2287666856,220,40
167,-1781914.9815548297,-1781915.1594896398,230,40
168,-1781913.5454985816,-1781913.869706667,240,40
169,-1781911.6054532574,-1781911.9888725209,250,40
170,-1781909.745696875,-1781910.0486132277,260,40
171,-1781908.380314438,-1781908.32465645,270,40
172,-1781907.327587438,-1781906.90987359,280,40
173,-1781906.434525372,-1781906.0237047113,290,40
174,-1781906.5858588486,-1781906.1481398398,300,40
175,-1781907.9493610167,-1781907.7435199262,310,40
176,-1781910.1934531245,-1781910.5179903142,320,40
177,-1781913.075886557,-1781913.3311780365,330,40
178,-1781914.9725910916,-1781915.0822432234,340,40
179,-1781915.1263186967,-1781915.259389148,350,40
180,-1781914.5726096176,-1781914.5915935661,0,50
181,-1781913.04342851,-1781913.1455607342,10,50
182,-1781911.4905899602,-1781911.521377963,20,50
183,-1781910.161585863,-1781909.9053528148,30,50
184,-1781908.8980289728,-1781908.4551156696,40,50
185,-1781907.9874624868,-1781907.5110276663,50,50
186,-1781908.120325549,-1781907.5974357207,60,50
187,-1781909.2934429452,-1781909.1165106555,70,50
188,-1781911.686619671,-1781911.676686558,80,50
189,-1781914.3193440253,-1781914.1283660722,90,50
190,-1781915.4847944863,-1781915.4113719426,100,50
191,-1781915.3397573328,-1781915.3178730311,110,50
192,-1781914.2129127502,-1781914.3050099893,120,50
193,-1781912.752174564,-1781912.893992186,130,50
194,-1781911.316139793,-1781911.3611120435,140,50
195,-1781910.0657056666,-1781909.8325617157,150,50
196,-1781908.8845157016,-1781908.4424399782,160,50
197,-1781907.997658041,-1781907.51127867,170,50
198,-1781908.1116634277,-1781907.610299665,180,50
199,-1781909.2501127417,-1781909.1936943205,190,50
200,-1781911.5847170937,-1781911.716156904,200,50
201,-1781914.1143854104,-1781914.0565162376,210,50
202,-1781915.4073082558,-1781915.3557118522,220,50
203,-1781915.4641755477,-1781915.3940526813,230,50
204,-1781914.480406114,-1781914.496212126,240,50
205,-1781913.019017804,-1781913.1358970883,250,50
206,-1781911.564967822,-1781911.617826169,260,50
207,-1781910.307842743,-1781910.0882090756,270,50
208,-1781909.1081453627,-1781908.663637068,280,50
209,-1781908.07307468,-1781907.621155579,290,50
210,-1781908.0196267017,-1781907.4809699624,300,50
211,-1781909.0258566071,-1781908.735110397,310,50
212,-1781911.0284706312,-1781911.1296865493,320,50
213,-1781913.6913348844,-1781913.6291195347,330,50
214,-1781915.298811498,-1781915.2134554547,340,50
215,-1781915.51913703,-1781915.4569291305,350,50
216,-1781915.9377848709,-1781915.9042806344,0,60
217,-1781914.7571576505,-1781914.7510437232,10,60
218,-1781913.2682743454,-1781913.2347925813,20,60
219,-1781911.791909922,-1781911.5255195256,30,60
220,-1781910.2747450822,-1781909.85534031,40,60
221,-1781909.180529424,-1781908.6186446387,50,60
222,-1781909.037952118,-1781908.3824500726,60,60
223,-1781910.0064422418,-1781909.6097958528,70,60
224,-1781912.360360136,-1781911.963772142,80,60
225,-1781914.9856133822,-1781914.39116704,90,60
226,-1781916.3720141866,-1781915.9495240676,100,60
227,-1781916.5058265969,-1781916.3324930992,110,60
