,ANI energy,DFT energy,Phi,Psi
0,-1165419.4289958107,-1165417.7135640054,0,0
1,-1165419.1079130692,-1165416.9276083894,10,0
2,-1165418.4652174865,-1165416.6553947795,20,0
3,-1165417.4222196722,-1165415.8484175962,30,0
4,-1165416.1334004733,-1165414.7761921582,40,0
5,-1165414.8976789839,-1165413.7635801202,50,0
6,-1165414.0334994544,-1165413.1957467971,60,0
7,-1165415.6165109917,-1165413.4055232143,70,0
8,-1165417.3177866444,-1165416.2227269975,80,0
9,-1165418.4425840066,-1165417.101114759,90,0
10,-1165419.029181163,-1165417.4212073416,100,0
11,-1165419.2353418584,-1165417.3051808397,110,0
12,-1165418.7857960253,-1165417.3328540076,120,0
13,-1165417.6369811,-1165416.617744211,130,0
14,-1165417.1608805363,-1165417.153386298,140,0
15,-1165415.3362210032,-1165415.2842865791,150,0
16,-1165413.079685601,-1165412.8784152563,160,0
17,-1165408.7162180447,-1165407.658038441,170,0
18,-1165407.0598042433,-1165406.01929745,180,0
19,-1165406.1603825293,-1165405.3247072133,190,0
20,-1165410.3076445898,-1165408.6591670557,200,0
21,-1165412.732500136,-1165411.324576297,210,0
22,-1165416.575463402,-1165415.675475985,220,0
23,-1165418.1852017797,-1165417.3152837423,230,0
24,-1165419.373143989,-1165417.9328158156,240,0
25,-1165419.726522594,-1165417.8160363026,250,0
26,-1165419.345465942,-1165417.0348497585,260,0
27,-1165418.452369665,-1165416.3798553697,270,0
28,-1165417.1869605496,-1165415.617180355,280,0
29,-1165415.7949614155,-1165414.6211973182,290,0
30,-1165414.6167837712,-1165413.7392955034,300,0
31,-1165413.939918768,-1165413.3649861023,310,0
32,-1165415.7225630733,-1165413.6773603184,320,0
33,-1165417.3481123769,-1165416.3201164678,330,0
34,-1165418.2544894528,-1165417.3850627958,340,0
35,-1165419.2602754165,-1165417.8553811465,350,0
36,-1165418.653082311,-1165418.623013486,0,10
37,-1165417.8297473649,-1165417.9360788648,10,10
38,-1165416.8382867933,-1165416.954403044,20,10
39,-1165415.8404911784,-1165415.966891385,30,10
40,-1165415.1119561244,-1165415.2826550545,40,10
41,-1165415.130932545,-1165415.1781747271,50,10
42,-1165416.047490544,-1165415.7492083483,60,10
43,-1165417.3262573543,-1165416.7650834357,70,10
44,-1165418.4545124173,-1165417.7579289253,80,10
45,-1165418.811433117,-1165418.1960560398,90,10
46,-1165419.1729271358,-1165417.7731774054,100,10
47,-1165419.0040849827,-1165417.3883258451,110,10
48,-1165418.2163348063,-1165417.0280099052,120,10
49,-1165416.6856378277,-1165415.9026971657,130,10
50,-1165414.46167142,-1165413.7987834017,140,10
51,-1165411.7004829051,-1165410.9473176012,150,10
52,-1165408.727786813,-1165407.8819965723,160,10
53,-1165406.3019764444,-1165405.2007740922,170,10
54,-1165404.5921759051,-1165403.350123152,180,10
55,-1165410.2495536874,-1165408.7576860432,190,10
56,-1165412.158633644,-1165410.9437407972,200,10
57,-1165414.4454799127,-1165413.5012811602,210,10
58,-1165416.6296390896,-1165415.7958950533,220,10
59,-1165418.303714673,-1165417.3333560152,230,10
60,-1165419.0753307608,-1165417.8738926759,240,10
61,-1165418.7911362778,-1165417.499395022,250,10
62,-1165417.6987763718,-1165416.5162759293,260,10
63,-1165416.3146048824,-1165415.2776977296,270,10
64,-1165415.1467165241,-1165414.1257158376,280,10
65,-1165414.4405291902,-1165413.3663666232,290,10
66,-1165414.308740639,-1165413.2522854009,300,10
67,-1165414.990981042,-1165413.861659851,310,10
68,-1165416.1835463643,-1165414.982642775,320,10
69,-1165417.5090899668,-1165416.2119338345,330,10
70,-1165418.4909374462,-1165417.175035375,340,10
71,-1165418.8634203854,-1165417.6267794452,350,10
72,-1165418.6997491238,-1165418.1063221851,0,20
73,-1165417.8879196467,-1165417.5942744545,10,20
74,-1165416.8356955766,-1165416.7839714708,20,20
75,-1165415.7832232495,-1165415.9113567965,30,20
76,-1165415.0333128301,-1165415.239105897,40,20
77,-1165415.0110376505,-1165414.9919299153,50,20
78,-1165415.7708429864,-1165415.281964794,60,20
79,-1165416.8660612318,-1165415.994250798,70,20
80,-1165417.8234030074,-1165416.7606908693,80,20
81,-1165418.141284514,-1165417.1103391482,90,20
82,-1165417.5047551154,-1165416.78390872,100,20
83,-1165416.0430259528,-1165415.8423935052,110,20
84,-1165414.3927767652,-1165414.468712516,120,20
85,-1165412.7219551597,-1165412.8495498204,130,20
86,-1165411.2567739757,-1165411.1784920914,140,20
87,-1165410.213971082,-1165409.7035310732,150,20
88,-1165409.6385310565,-1165408.6865892198,160,20
89,-1165409.6510219562,-1165408.364425856,170,20
90,-1165410.3157912327,-1165408.9539710064,180,20
91,-1165411.677937599,-1165410.473045941,190,20
92,-1165413.529173212,-1165412.583109298,200,20
93,-1165415.598210071,-1165414.8314757429,210,20
94,-1165417.4499473118,-1165416.767216968,220,20
95,-1165418.8397936397,-1165418.019412123,230,20
96,-1165419.299036611,-1165418.4270422773,240,20
97,-1165418.8347905846,-1165418.076578236,250,20
98,-1165417.720145966,-1165417.1886523305,260,20
99,-1165416.4221587426,-1165416.0460830806,270,20
100,-1165415.4677244243,-1165414.9618094605,280,20
101,-1165414.9376868696,-1165414.2795184096,290,20
102,-1165415.0272568718,-1165414.2326434518,300,20
103,-1165415.7703390026,-1165414.8143447342,310,20
104,-1165416.8605350533,-1165415.7950792909,320,20
105,-1165417.9798723306,-1165416.8585823472,330,20
106,-1165418.790203919,-1165417.7125599901,340,20
107,-1165419.0426440432,-1165418.158844728,350,20
108,-1165418.7114686614,-1165418.495252557,0,30
