,ANI energy,DFT energy,Phi,Psi
0,-857964.0251600316,-857958.8691554624,0,0
1,-857963.8803278715,-857962.0812509572,10,0
2,-857963.6209200125,-857961.839283304,20,0
3,-857963.6168381758,-857961.5599788373,30,0
4,-857963.583848175,-857961.2414550283,40,0
5,-857962.7295656988,-857960.8783780468,50,0
6,-857962.4065651218,-857960.5245882054,60,0
7,-857962.6739413871,-857960.1278139651,70,0
8,-857962.2817308368,-857959.7131557047,80,0
9,-857961.7343876999,-857959.3134949207,90,0
10,-857961.1304335877,-857958.8792583649,100,0
11,-857962.3141745478,-857961.8587988488,110,0
12,-857961.8463211007,-857961.4837364362,120,0
13,-857961.5312943996,-857960.8922460062,130,0
14,-857961.4098240631,-857960.1945182221,140,0
15,-857960.9766749301,-857959.7045588249,150,0
16,-857969.0783128262,-857967.8372698594,160,0
17,-857969.319935811,-857968.0071366739,170,0
18,-857969.5891343784,-857968.0540743826,180,0
19,-857960.9777750886,-857959.5104701446,190,0
20,-857967.3083472458,-857965.4772067281,200,0
21,-857961.4107570702,-857959.9341645413,210,0
22,-857961.3982810181,-857960.1273119575,220,0
23,-857961.1891280886,-857960.2570809167,230,0
24,-857967.1445754649,-857966.1946383095,240,0
25,-857967.5514805835,-857967.0466079223,250,0
26,-857968.0752949008,-857967.8493807922,260,0
27,-857968.5745322433,-857968.5597842676,270,0
28,-857969.0599338956,-857969.1697862272,280,0
29,-857969.5242015454,-857969.6838419881,290,0
30,-857965.2859278165,-857966.8122331337,300,0
31,-857965.9610937469,-857967.241135859,310,0
32,-857966.3626716435,-857967.3317482272,320,0
33,-857966.6519294675,-857967.0387013028,330,0
34,-857966.4998564323,-857966.3990181452,340,0
35,-857964.5002744705,-857962.603903598,350,0
36,-857964.4245184715,-857962.6534768464,0,10
37,-857964.1389594559,-857962.5749754113,10,10
38,-857963.4393456789,-857962.4374880856,20,10
39,-857963.3522921616,-857962.1004527471,30,10
40,-857963.1633800679,-857961.653352247,40,10
41,-857962.7718030219,-857961.1560509889,50,10
42,-857962.2454757994,-857960.616832098,60,10
43,-857961.7914538968,-857960.1189033304,70,10
44,-857963.5009555819,-857962.4808489901,80,10
45,-857963.0832837204,-857962.3072798697,90,10
46,-857962.8788615093,-857962.2487332359,100,10
47,-857962.719257684,-857962.1597523923,110,10
48,-857962.4155758113,-857961.9314016949,120,10
49,-857962.1863228166,-857961.4592008158,130,10
50,-857961.7344178519,-857960.9155266075,140,10
51,-857968.8278996035,-857967.5029328117,150,10
52,-857969.1166256295,-857967.8472472599,160,10
53,-857969.3322560895,-857967.9757612002,170,10
54,-857960.9368745021,-857959.659064388,180,10
55,-857961.1475239319,-857959.7392600988,190,10
56,-857961.3908339728,-857959.8819557532,200,10
57,-857961.7330601312,-857960.1360343391,210,10
58,-857961.7240939486,-857960.3434262202,220,10
59,-857961.5157654439,-857960.5375776516,230,10
60,-857961.4156579535,-857960.880511579,240,10
61,-857967.5797074127,-857967.197147445,250,10
62,-857968.1521325582,-857968.0548901448,260,10
63,-857968.6385612898,-857968.7327886296,270,10
64,-857969.0849029295,-857969.2935938464,280,10
65,-857969.4854291738,-857969.6848460034,290,10
66,-857964.7326455401,-857965.9565612152,300,10
67,-857965.555773978,-857966.282301383,310,10
68,-857966.0989920316,-857966.3603008107,320,10
69,-857966.3719766585,-857966.1632628358,330,10
70,-857966.2127867807,-857965.7641040595,340,10
71,-857963.8633292253,-857962.706564148,350,10
72,-857965.1485540065,-857964.8922423965,0,20
73,-857963.2556843588,-857962.4886301077,10,20
74,-857963.1895208147,-857962.29140388,20,20
75,-857963.0021016421,-857961.885907258,30,20
76,-857962.6388834114,-857961.3009429264,40,20
77,-857962.0825729592,-857960.6213501663,50,20
78,-857961.4699698092,-857959.9689913172,60,20
79,-857961.019775642,-857959.4357337663,70,20
80,-857962.6158644559,-857961.7728928017,80,20
81,-857962.7043759573,-857961.674813071,90,20
82,-857962.6642112206,-857961.7007919631,100,20
83,-857962.5961534093,-857961.6748758219,110,20
84,-857962.3660103711,-857961.6015199644,120,20
85,-857962.458234168,-857961.3460608575,130,20
86,-857962.0241880787,-857960.9875646953,140,20
87,-857961.3157385527,-857960.5331850852,150,20
88,-857963.1883767794,-857961.7109576168,160,20
89,-857968.8021177964,-857967.2903326019,170,20
90,-857960.58408494,-857959.3449331454,180,20
91,-857960.7372146499,-857959.2926616062,190,20
92,-857961.2762677887,-857959.396577175,200,20
