,ANI energy,DFT energy,Phi,Psi
0,-494728.93333493575,-494730.220781974,0,0
1,-494729.1109357044,-494730.4363942293,10,0
2,-494729.6118488255,-494731.0397445884,20,0
3,-494730.37132483034,-494731.87916401157,30,0
4,-494731.16423481243,-494732.71425361943,40,0
5,-494731.7999271846,-494733.3354252477,50,0
6,-494732.0855336473,-494733.5720590702,60,0
7,-494731.7851637285,-494733.3127721557,70,0
8,-494731.17343768274,-494732.6938595616,80,0
9,-494730.3980984239,-494731.88048178155,90,0
10,-494729.64899641764,-494731.0674177562,100,0
11,-494729.13826434466,-494730.4675814501,110,0
12,-494728.93505833484,-494730.22310375905,120,0
13,-494729.0726765576,-494730.39058603765,130,0
14,-494729.5493044817,-494730.95057549217,140,0
15,-494730.306812072,-494731.77763297874,150,0
16,-494731.13347632176,-494732.6392034864,160,0
17,-494731.78234013426,-494733.3021044946,170,0
18,-494732.08576814324,-494733.572372825,180,0
19,-494731.78233903856,-494733.3021044946,190,0
20,-494731.13342796155,-494732.6392034864,200,0
21,-494730.30679117923,-494731.77763297874,210,0
22,-494729.54933300836,-494730.95057549217,220,0
23,-494729.07266932545,-494730.39058603765,230,0
24,-494728.9351369384,-494730.22310375905,240,0
25,-494729.13826200704,-494730.4675814501,250,0
26,-494729.64899890136,-494731.0674177562,260,0
27,-494730.39806631766,-494731.88048178155,270,0
28,-494731.17343819403,-494732.69392231246,280,0
29,-494731.7851428358,-494733.3127721557,290,0
30,-494732.0855083714,-494733.5720590702,300,0
31,-494731.79992323974,-494733.3354252477,310,0
32,-494731.16419394,-494732.7143163704,320,0
33,-494730.37134784163,-494731.87916401157,330,0
34,-494729.61187373614,-494731.0397445884,340,0
35,-494729.11077236076,-494730.4363314783,350,0
36,-494729.1109228838,-494730.4363942293,0,10
37,-494729.40862100973,-494730.7794536586,10,10
38,-494730.0172224152,-494731.4603014378,20,10
39,-494730.8409033934,-494732.3048664387,30,10
40,-494731.57440004573,-494733.0709300044,40,10
41,-494732.07800011785,-494733.5561830806,50,10
42,-494732.04889522545,-494733.58862532035,60,10
43,-494731.58718577307,-494733.18865078175,70,10
44,-494731.00636647624,-494732.5063597308,80,10
45,-494730.3016695977,-494731.69837853214,90,10
46,-494729.67466232367,-494730.97335408605,100,10
47,-494729.2170905606,-494730.51728020044,110,10
48,-494729.10412637296,-494730.42716983997,120,10
49,-494729.3677536615,-494730.73276695376,130,10
50,-494729.97144928033,-494731.38663182553,140,10
51,-494730.8103284269,-494732.23182433593,150,10
52,-494731.56001262326,-494733.0226745259,160,10
53,-494732.06902703166,-494733.5418131136,170,10
54,-494732.0537628428,-494733.59013134317,180,10
55,-494731.5728225673,-494733.1642406632,190,10
56,-494730.95248854766,-494732.4373336886,200,10
57,-494730.2137641515,-494731.5941492085,210,10
58,-494729.5789820218,-494730.8745213439,220,10
59,-494729.16717236274,-494730.4701542389,230,10
60,-494729.1249077913,-494730.4550312606,240,10
61,-494729.45222052786,-494730.82670512196,250,10
62,-494730.07431611617,-494731.5005247951,260,10
63,-494730.88135661144,-494732.3143418317,270,10
64,-494731.58223177213,-494733.0548030109,280,10
65,-494732.0677914352,-494733.54068359657,290,10
66,-494732.06077321246,-494733.6009245061,300,10
67,-494731.58857861324,-494733.2173907156,310,10
68,-494730.99012584187,-494732.5360409289,320,10
69,-494730.27779531654,-494731.71124247636,330,10
70,-494729.65642390796,-494730.9619961646,340,10
71,-494729.204640104,-494730.5026592297,350,10
72,-494729.6118816987,-494731.0397445884,0,20
73,-494730.01725064975,-494731.4603014378,10,20
74,-494730.7421995045,-494732.1452280286,20,20
75,-494731.59240644926,-494732.90533025423,30,20
76,-494732.19676592527,-494733.5249331088,40,20
77,-494732.40530974965,-494733.80084902444,50,20
78,-494732.1251836254,-494733.6543255623,60,20
79,-494731.6503348389,-494733.1809951661,70,20
80,-494731.0643216393,-494732.5061714779,80,20
81,-494730.4714563184,-494731.7921911985,90,20
82,-494729.97122977366,-494731.23490003473,100,20
